,county name,state,center_latitude,center_longitude,direction_real,direction_imaginary,magnitude
01051,Elmore,Alabama,32.597229,-86.142735,-0.03757703856280159,0.036574386285025184,12
01073,Jefferson,Alabama,33.553444,-86.896536,-0.08053944150356074,0.06736181751314518,282
01083,Limestone,Alabama,34.810239,-86.981399,-0.21760789661223612,0.016348993265999923,22
01101,Montgomery,Alabama,32.202881,-86.204461,-0.0280501674736513,-0.008435701752716795,31
01125,Tuscaloosa,Alabama,33.29022,-87.52278299999999,-0.011280687169445969,0.025771653269451633,29
01003,Baldwin,Alabama,30.659218,-87.74606700000001,-0.09200800377577423,-0.04486749346896701,19
01081,Lee,Alabama,32.604064,-85.353048,0.10223335184385007,0.0025691001925025603,75
01117,Shelby,Alabama,33.263042999999996,-86.678089,-0.07320397814103785,0.12818826200299327,86
01089,Madison,Alabama,34.764238,-86.55108,-0.03651293666439415,-0.06705966420943099,100
01115,St. Clair,Alabama,33.712963,-86.315663,0.040423457288611075,-0.05776337868688586,15
01015,Calhoun,Alabama,33.770516,-85.82790899999999,0.042918389001755486,-0.07116607329430735,9
01121,Talladega,Alabama,33.369314,-86.17593000000001,-0.005499423572217665,-0.054870120050772186,7
01017,Chambers,Alabama,32.915504,-85.394032,-0.0017339464072421151,0.03456891036019982,36
01097,Mobile,Alabama,30.684571999999996,-88.196568,-0.09844753940380713,-0.010002876415594386,53
01127,Walker,Alabama,33.791558,-87.30109399999999,-0.010150380053076447,0.11447874908728295,32
01043,Cullman,Alabama,34.131923,-86.86926700000001,-0.031048940089817734,-0.028549582178840183,8
01071,Jackson,Alabama,34.764114,-85.980056,0.16827415719221506,-0.07870044025675327,8
01075,Lamar,Alabama,33.787085,-88.08743100000001,-0.06648128945609244,-0.04891972244292475,1
01077,Lauderdale,Alabama,34.904121999999994,-87.650997,0.014986289148453125,-0.056269960003639596,12
01129,Washington,Alabama,31.405216999999997,-88.197564,0.00022539613743788323,-0.011114909850817867,3
01093,Marion,Alabama,34.138219,-87.881551,0.060316905592728176,-0.011550811539663641,9
01059,Franklin,Alabama,34.441989,-87.842814,0.048698757575920126,-0.0012527173852419082,3
01069,Houston,Alabama,31.158183,-85.29641099999999,0.033020166121332295,0.012823983788091908,8
01123,Tallapoosa,Alabama,32.863308,-85.79961800000001,0.011693991061946463,0.013113559987090184,13
01001,Autauga,Alabama,32.532237,-86.64644,0.0006585042886229076,0.005947019474135118,7
01103,Morgan,Alabama,34.454484,-86.846402,0.0967256047669025,-0.004038660993280985,20
01009,Blount,Alabama,33.977358,-86.56644,-0.017831558848314444,0.044000466434262364,5
01013,Butler,Alabama,31.751666999999998,-86.681969,0.05475795904757774,0.027288117568208037,1
01019,Cherokee,Alabama,34.069515,-85.65424200000001,-0.018248462470978666,0.013793540600232745,2
01021,Chilton,Alabama,32.854051,-86.726607,-0.0241343257333142,0.1481171685872269,11
01027,Clay,Alabama,33.2704,-85.863525,-0.031958885525256164,-0.04286990365471155,2
01029,Cleburne,Alabama,33.671964,-85.516126,-0.0619350965852874,-0.03900619227245983,5
01033,Colbert,Alabama,34.703112,-87.801457,-0.15580931248686625,0.031478102711567146,4
01047,Dallas,Alabama,32.33354,-87.114356,0.060112378892156926,-0.013225489319935946,2
01055,Etowah,Alabama,34.047641,-86.034263,-0.08177273736416169,0.022158877564834256,8
01079,Lawrence,Alabama,34.529776,-87.321865,0.04101268744213371,-0.04725404465911964,3
01095,Marshall,Alabama,34.309564,-86.321668,0.14864805192721064,0.03109763116970754,6
01107,Pickens,Alabama,33.296793,-88.096863,0.061955993307051926,0.02972677799005652,4
01109,Pike,Alabama,31.798651,-85.941604,0.06294132718844025,0.09167667730086393,4
01113,Russell,Alabama,32.289811,-85.18698,-0.048951444252224974,-0.007421605387378349,1
01131,Wilcox,Alabama,31.990082,-87.304935,0.06671045337013481,0.024816578468414008,3
